Name	City	Country	IATA	ICAO	Elev	
Mmabatho International Airport	Mafeking	South Africa	MBD	FAMM	2	Africa/Johannesburg
Ghanzi Airport	Ghanzi	Botswana	GNZ	FBGZ	2	Africa/Gaborone
Orapa Airport	Orapa	Botswana	ORP	FBOR	2	Africa/Gaborone
Shakawe Airport	Shakawe	Botswana	SWX	FBSW	2	Africa/Gaborone
Limpopo Valley Airport	Tuli Lodge	Botswana	TLD	FBTL	2	Africa/Gaborone
Ngot Nzoungou Airport	Loubomo	Congo (Brazzaville)	DIS	FCPL	1	Africa/Brazzaville
Chipata Airport	Chipata	Zambia	CIP	FLCP	2	Africa/Lusaka
Los Alamitos Army Air Field	Solwesi	Zambia	\N	KSLI	-8	America/Los_Angeles
Iconi Airport	Moroni	Comoros	YVA	FMCN	3	Indian/Comoro
Antsalova Airport	Antsalova	Madagascar	WAQ	FMMG	3	Indian/Antananarivo
Ankavandra Airport	Ankavandra	Madagascar	JVA	FMMK	3	Indian/Antananarivo
Belo sur Tsiribihina Airport	Belo sur Tsiribihina	Madagascar	BMD	FMML	3	Indian/Antananarivo
Maintirano Airport	Maintirano	Madagascar	MXT	FMMO	3	Indian/Antananarivo
Morafenobe Airport	Morafenobe	Madagascar	TVA	FMMR	3	Indian/Antananarivo
Tambohorano Airport	Tambohorano	Madagascar	WTA	FMMU	3	Indian/Antananarivo
Tsiroanomandidy Airport	Tsiroanomandidy	Madagascar	WTS	FMMX	3	Indian/Antananarivo
Ambatondrazaka Airport	Ambatondrazaka	Madagascar	WAM	FMMZ	3	Indian/Antananarivo
Port Bergé Airport	Port Bergé	Madagascar	WPB	FMNG	3	Indian/Antananarivo
Ambanja Airport	Ambanja	Madagascar	\N	FMNJ	3	Indian/Antananarivo
Soalala Airport	Soalala	Madagascar	DWB	FMNO	3	Indian/Antananarivo
Mampikony Airport	Mampikony	Madagascar	WMP	FMNP	3	Indian/Antananarivo
Nasa Shuttle Landing Facility Airport	Tsaratanana	Madagascar	\N	KTTS	-5	America/New_York
Mandritsara Airport	Mandritsara	Madagascar	WMA	FMNX	3	Indian/Antananarivo
Manja Airport	Manja	Madagascar	MJA	FMSJ	3	Indian/Antananarivo
Catumbela Airport	Catumbela	Angola	CBT	FNCT	1	Africa/Luanda
Dundo Airport	Dundo	Angola	DUE	FNDU	1	Africa/Luanda
Ngjiva Pereira Airport	Ondjiva	Angola	VPE	FNGI	1	Africa/Luanda
Namibe Airport	Mocamedes	Angola	MSZ	FNMO	1	Africa/Luanda
Koulamoutou Mabimbi Airport	Koulamoutou	Gabon	KOU	FOGK	1	Africa/Libreville
Mouilla Ville Airport	Mouila	Gabon	MJL	FOGM	1	Africa/Libreville
Tchibanga Airport	Tchibanga	Gabon	TCH	FOOT	1	Africa/Libreville
Chimoio Airport	Chimoio	Mozambique	VPY	FQCH	2	Africa/Maputo
Sarh Airport	Sarh	Chad	SRH	FTTA	1	Africa/Ndjamena
Club Makokola Airport	Club Makokola	Malawi	CMK	FWCM	2	Africa/Blantyre
Luderitz Airport	Luderitz	Namibia	LUD	FYLZ	1	Africa/Windhoek
Ondangwa Airport	Ondangwa	Namibia	OND	FYOA	1	Africa/Windhoek
