Name	City	Country	IATA	ICAO	Elev	
Goroka Airport	Goroka	Papua New Guinea	GKA	AYGA	10	Pacific/Port_Moresby
Madang Airport	Madang	Papua New Guinea	MAG	AYMD	10	Pacific/Port_Moresby
Mount Hagen Kagamuga Airport	Mount Hagen	Papua New Guinea	HGU	AYMH	10	Pacific/Port_Moresby
Nadzab Airport	Nadzab	Papua New Guinea	LAE	AYNZ	10	Pacific/Port_Moresby
Port Moresby Jacksons International Airport	Port Moresby	Papua New Guinea	POM	AYPY	10	Pacific/Port_Moresby
Wewak International Airport	Wewak	Papua New Guinea	WWK	AYWK	10	Pacific/Port_Moresby
Narsarsuaq Airport	Narssarssuaq	Greenland	UAK	BGBW	-3	America/Godthab
Godthaab / Nuuk Airport	Godthaab	Greenland	GOH	BGGH	-3	America/Godthab
Kangerlussuaq Airport	Sondrestrom	Greenland	SFJ	BGSF	-3	America/Godthab
Thule Air Base	Thule	Greenland	THU	BGTL	-4	America/Thule
Akureyri Airport	Akureyri	Iceland	AEY	BIAR	0	Atlantic/Reykjavik
Egilssta_ir Airport	Egilsstadir	Iceland	EGS	BIEG	0	Atlantic/Reykjavik
Hornafjör_ur Airport	Hofn	Iceland	HFN	BIHN	0	Atlantic/Reykjavik
Húsavík Airport	Husavik	Iceland	HZK	BIHU	0	Atlantic/Reykjavik
Ísafjör_ur Airport	Isafjordur	Iceland	IFJ	BIIS	0	Atlantic/Reykjavik
Keflavik International Airport	Keflavik	Iceland	KEF	BIKF	0	Atlantic/Reykjavik
Patreksfjör_ur Airport	Patreksfjordur	Iceland	PFJ	BIPA	0	Atlantic/Reykjavik
Reykjavik Airport	Reykjavik	Iceland	RKV	BIRK	0	Atlantic/Reykjavik
Siglufjör_ur Airport	Siglufjordur	Iceland	SIJ	BISI	0	Atlantic/Reykjavik
Vestmannaeyjar Airport	Vestmannaeyjar	Iceland	VEY	BIVM	0	Atlantic/Reykjavik
Sault Ste Marie Airport	Sault Sainte Marie	Canada	YAM	CYAM	-5	America/Toronto
Winnipeg / St. Andrews Airport	Winnipeg	Canada	\N	CYAV	-6	America/Winnipeg
Halifax / CFB Shearwater Heliport	Halifax	Canada	\N	CYAW	-4	America/Halifax
St. Anthony Airport	St. Anthony	Canada	YAY	CYAY	-3.5	America/St_Johns
Tofino / Long Beach Airport	Tofino	Canada	YAZ	CYAZ	-8	America/Vancouver
Kugaaruk Airport	Pelly Bay	Canada	YBB	CYBB	-7	America/Edmonton
Baie Comeau Airport	Baie Comeau	Canada	YBC	CYBC	-5	America/Toronto
CFB Bagotville	Bagotville	Canada	YBG	CYBG	-5	America/Toronto
Baker Lake Airport	Baker Lake	Canada	YBK	CYBK	-6	America/Winnipeg
Campbell River Airport	Campbell River	Canada	YBL	CYBL	-8	America/Vancouver
Brandon Municipal Airport	Brandon	Canada	YBR	CYBR	-6	America/Winnipeg
Cambridge Bay Airport	Cambridge Bay	Canada	YCB	CYCB	-7	America/Edmonton
Nanaimo Airport	Nanaimo	Canada	YCD	CYCD	-8	America/Vancouver
Castlegar/West Kootenay Regional Airport	Castlegar	Canada	YCG	CYCG	-8	America/Vancouver
Miramichi Airport	Chatham	Canada	YCH	CYCH	-4	America/Halifax
Charlo Airport	Charlo	Canada	YCL	CYCL	-4	America/Halifax
Kugluktuk Airport	Coppermine	Canada	YCO	CYCO	-7	America/Edmonton
Coronation Airport	Coronation	Canada	YCT	CYCT	-7	America/Edmonton
Chilliwack Airport	Chilliwack	Canada	YCW	CYCW	-8	America/Vancouver
Clyde River Airport	Clyde River	Canada	YCY	CYCY	-5	America/Toronto
Coral Harbour Airport	Coral Harbour	Canada	YZS	CYZS	-5	America/Coral_Harbour
Dawson City Airport	Dawson	Canada	YDA	CYDA	-8	America/Vancouver
Burwash Airport	Burwash	Canada	YDB	CYDB	-8	America/Vancouver
Princeton Airport	Princeton	Canada	\N	CYDC	-8	America/Vancouver
Deer Lake Airport	Deer Lake	Canada	YDF	CYDF	-3.5	America/St_Johns
Dease Lake Airport	Dease Lake	Canada	YDL	CYDL	-8	America/Vancouver
Dauphin Barker Airport	Dauphin	Canada	YDN	CYDN	-6	America/Winnipeg
Dawson Creek Airport	Dawson Creek	Canada	YDQ	CYDQ	-7	America/Dawson_Creek
Edmonton International Airport	Edmonton	Canada	YEG	CYEG	-7	America/Edmonton
Arviat Airport	Eskimo Point	Canada	YEK	CYEK	-6	America/Winnipeg
Estevan Airport	Estevan	Canada	YEN	CYEN	-6	America/Regina
Edson Airport	Edson	Canada	YET	CYET	-7	America/Edmonton
Eureka Airport	Eureka	Canada	YEU	CYEU	-6	America/Winnipeg
Inuvik Mike Zubko Airport	Inuvik	Canada	YEV	CYEV	-7	America/Edmonton
Iqaluit Airport	Iqaluit	Canada	YFB	CYFB	-5	America/Toronto
Fredericton Airport	Fredericton	Canada	YFC	CYFC	-4	America/Halifax
Forestville Airport	Forestville	Canada	YFE	CYFE	-5	America/Toronto
Flin Flon Airport	Flin Flon	Canada	YFO	CYFO	-6	America/Winnipeg
Fort Resolution Airport	Fort Resolution	Canada	YFR	CYFR	-7	America/Edmonton
Fort Simpson Airport	Fort Simpson	Canada	YFS	CYFS	-7	America/Edmonton
Kingston Norman Rogers Airport	Kingston	Canada	YGK	CYGK	-5	America/Toronto
La Grande Rivière Airport	La Grande Riviere	Canada	YGL	CYGL	-5	America/Toronto
Gaspé (Michel-Pouliot) Airport	Gaspe	Canada	YGP	CYGP	-5	America/Toronto
Geraldton Greenstone Regional Airport	Geraldton	Canada	YGQ	CYGQ	-5	America/Toronto
Îles-de-la-Madeleine Airport	Iles De La Madeleine	Canada	YGR	CYGR	-5	America/Toronto
Hudson Bay Airport	Hudson Bay	Canada	YHB	CYHB	-6	America/Regina
Dryden Regional Airport	Dryden	Canada	YHD	CYHD	-6	America/Winnipeg
Ulukhaktok Holman Airport	Holman Island	Canada	YHI	CYHI	-7	America/Edmonton
Gjoa Haven Airport	Gjoa Haven	Canada	YHK	CYHK	-7	America/Edmonton
John C. Munro Hamilton International Airport	Hamilton	Canada	YHM	CYHM	-5	America/Toronto
Montréal / Saint-Hubert Airport	Montreal	Canada	YHU	CYHU	-5	America/Toronto
Hay River / Merlyn Carter Airport	Hay River	Canada	YHY	CYHY	-7	America/Edmonton
Halifax / Stanfield International Airport	Halifax	Canada	YHZ	CYHZ	-4	America/Halifax
Atikokan Municipal Airport	Atikokan	Canada	YIB	CYIB	-5	America/Coral_Harbour
Pond Inlet Airport	Pond Inlet	Canada	YIO	CYIO	-5	America/Toronto
St Jean Airport	St. Jean	Canada	YJN	CYJN	-5	America/Toronto
Stephenville Airport	Stephenville	Canada	YJT	CYJT	-3.5	America/St_Johns
Kamloops Airport	Kamloops	Canada	YKA	CYKA	-8	America/Vancouver
Waterloo Airport	Waterloo	Canada	YKF	CYKF	-5	America/Toronto
Schefferville Airport	Schefferville	Canada	YKL	CYKL	-5	America/Toronto
Kindersley Airport	Kindersley	Canada	YKY	CYKY	-6	America/Regina
Buttonville Municipal Airport	Toronto	Canada	YKZ	CYKZ	-5	America/Toronto
Chapleau Airport	Chapleau	Canada	YLD	CYLD	-5	America/Toronto
Meadow Lake Airport	Meadow Lake	Canada	YLJ	CYLJ	-6	America/Regina
Lloydminster Airport	Lloydminster	Canada	YLL	CYLL	-7	America/Edmonton
Alert Airport	Alert	Canada	YLT	CYLT	-5	America/Toronto
Kelowna International Airport	Kelowna	Canada	YLW	CYLW	-8	America/Vancouver
Mayo Airport	Mayo	Canada	YMA	CYMA	-8	America/Vancouver
Moose Jaw Air Vice Marshal C. M. McEwen Airport	Moose Jaw	Canada	YMJ	CYMJ	-6	America/Regina
Fort McMurray Airport	Fort Mcmurray	Canada	YMM	CYMM	-7	America/Edmonton
Moosonee Airport	Moosonee	Canada	YMO	CYMO	-5	America/Toronto
Maniwaki Airport	Maniwaki	Canada	YMW	CYMW	-5	America/Toronto
Montreal International (Mirabel) Airport	Montreal	Canada	YMX	CYMX	-5	America/Toronto
Natashquan Airport	Natashquan	Canada	YNA	CYNA	-5	America/Toronto
Ottawa / Gatineau Airport	Gatineau	Canada	YND	CYND	-5	America/Toronto
Matagami Airport	Matagami	Canada	YNM	CYNM	-5	America/Toronto
Old Crow Airport	Old Crow	Canada	YOC	CYOC	-8	America/Vancouver
CFB Cold Lake	Cold Lake	Canada	YOD	CYOD	-7	America/Edmonton
High Level Airport	High Level	Canada	YOJ	CYOJ	-7	America/Edmonton
Ottawa Macdonald-Cartier International Airport	Ottawa	Canada	YOW	CYOW	-5	America/Toronto
Prince Albert Glass Field	Prince Albert	Canada	YPA	CYPA	-6	America/Regina
Peace River Airport	Peace River	Canada	YPE	CYPE	-7	America/Edmonton
Southport Airport	Portage-la-prairie	Canada	YPG	CYPG	-6	America/Winnipeg
Pitt Meadows Airport	Pitt Meadows	Canada	\N	CYPK	-8	America/Vancouver
Pickle Lake Airport	Pickle Lake	Canada	YPL	CYPL	-5	America/Coral_Harbour
Port Menier Airport	Port Menier	Canada	YPN	CYPN	-5	America/Toronto
Peterborough Airport	Peterborough	Canada	YPQ	CYPQ	-5	America/Toronto
Prince Rupert Airport	Prince Pupert	Canada	YPR	CYPR	-8	America/Vancouver
Fort Chipewyan Airport	Fort Chipewyan	Canada	YPY	CYPY	-7	America/Edmonton
Muskoka Airport	Muskoka	Canada	YQA	CYQA	-5	America/Toronto
Quebec Jean Lesage International Airport	Quebec	Canada	YQB	CYQB	-5	America/Toronto
Red Deer Regional Airport	Red Deer Industrial	Canada	YQF	CYQF	-7	America/Edmonton
Windsor Airport	Windsor	Canada	YQG	CYQG	-5	America/Toronto
Watson Lake Airport	Watson Lake	Canada	YQH	CYQH	-8	America/Vancouver
Kenora Airport	Kenora	Canada	YQK	CYQK	-6	America/Winnipeg
Lethbridge County Airport	Lethbridge	Canada	YQL	CYQL	-7	America/Edmonton
Greater Moncton International Airport	Moncton	Canada	YQM	CYQM	-4	America/Halifax
Comox Airport	Comox	Canada	YQQ	CYQQ	-8	America/Vancouver
Regina International Airport	Regina	Canada	YQR	CYQR	-6	America/Regina
Thunder Bay Airport	Thunder Bay	Canada	YQT	CYQT	-5	America/Toronto
Grande Prairie Airport	Grande Prairie	Canada	YQU	CYQU	-7	America/Edmonton
Yorkton Municipal Airport	Yorkton	Canada	YQV	CYQV	-6	America/Regina
North Battleford Airport	North Battleford	Canada	YQW	CYQW	-6	America/Regina
Gander International Airport	Gander	Canada	YQX	CYQX	-3.5	America/St_Johns
Sydney / J.A. Douglas McCurdy Airport	Sydney	Canada	YQY	CYQY	-4	America/Halifax
Quesnel Airport	Quesnel	Canada	YQZ	CYQZ	-8	America/Vancouver
Resolute Bay Airport	Resolute	Canada	YRB	CYRB	-6	America/Winnipeg
Rivière-du-Loup Airport	Riviere Du Loup	Canada	YRI	CYRI	-5	America/Toronto
Roberval Airport	Roberval	Canada	YRJ	CYRJ	-5	America/Toronto
Rocky Mountain House Airport	Rocky Mountain House	Canada	YRM	CYRM	-7	America/Edmonton
Rankin Inlet Airport	Rankin Inlet	Canada	YRT	CYRT	-6	America/Winnipeg
Sudbury Airport	Sudbury	Canada	YSB	CYSB	-5	America/Toronto
Sherbrooke Airport	Sherbrooke	Canada	YSC	CYSC	-5	America/Toronto
Saint John Airport	St. John	Canada	YSJ	CYSJ	-4	America/Halifax
Fort Smith Airport	Fort Smith	Canada	YSM	CYSM	-7	America/Edmonton
Nanisivik Airport	Nanisivik	Canada	YSR	CYSR	-5	America/Toronto
Summerside Airport	Summerside	Canada	YSU	CYSU	-4	America/Halifax
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport	Sachs Harbour	Canada	YSY	CYSY	-7	America/Edmonton
Cape Dorset Airport	Cape Dorset	Canada	YTE	CYTE	-5	America/Toronto
Thompson Airport	Thompson	Canada	YTH	CYTH	-6	America/Winnipeg
CFB Trenton	Trenton	Canada	YTR	CYTR	-5	America/Toronto
Timmins/Victor M. Power	Timmins	Canada	YTS	CYTS	-5	America/Toronto
Billy Bishop Toronto City Centre Airport	Toronto	Canada	YTZ	CYTZ	-5	America/Toronto
Tuktoyaktuk Airport	Tuktoyaktuk	Canada	YUB	CYUB	-7	America/Edmonton
Montreal / Pierre Elliott Trudeau International Airport	Montreal	Canada	YUL	CYUL	-5	America/Toronto
Repulse Bay Airport	Repulse Bay	Canada	YUT	CYUT	-6	America/Winnipeg
Hall Beach Airport	Hall Beach	Canada	YUX	CYUX	-5	America/Toronto
Rouyn Noranda Airport	Rouyn	Canada	YUY	CYUY	-5	America/Toronto
La Ronge Airport	La Ronge	Canada	YVC	CYVC	-6	America/Regina
Vermilion Airport	Vermillion	Canada	YVG	CYVG	-7	America/Edmonton
Qikiqtarjuaq Airport	Broughton Island	Canada	YVM	CYVM	-5	America/Toronto
Val-d'Or Airport	Val D'or	Canada	YVO	CYVO	-5	America/Toronto
Kuujjuaq Airport	Quujjuaq	Canada	YVP	CYVP	-5	America/Toronto
Norman Wells Airport	Norman Wells	Canada	YVQ	CYVQ	-7	America/Edmonton
Vancouver International Airport	Vancouver	Canada	YVR	CYVR	-8	America/Vancouver
Buffalo Narrows Airport	Buffalo Narrows	Canada	YVT	CYVT	-6	America/Regina
Wiarton Airport	Wiarton	Canada	YVV	CYVV	-5	America/Toronto
Petawawa Airport	Petawawa	Canada	YWA	CYWA	-5	America/Toronto
Winnipeg / James Armstrong Richardson International Airport	Winnipeg	Canada	YWG	CYWG	-6	America/Winnipeg
Wabush Airport	Wabush	Canada	YWK	CYWK	-4	America/Halifax
Williams Lake Airport	Williams Lake	Canada	YWL	CYWL	-8	America/Vancouver
Wrigley Airport	Wrigley	Canada	YWY	CYWY	-7	America/Edmonton
Cranbrook/Canadian Rockies International Airport	Cranbrook	Canada	YXC	CYXC	-7	America/Edmonton
Edmonton City Centre (Blatchford Field) Airport	Edmonton	Canada	YXD	CYXD	-7	America/Edmonton
Saskatoon John G. Diefenbaker International Airport	Saskatoon	Canada	YXE	CYXE	-6	America/Regina
Medicine Hat Airport	Medicine Hat	Canada	YXH	CYXH	-7	America/Edmonton
Fort St John Airport	Fort Saint John	Canada	YXJ	CYXJ	-7	America/Dawson_Creek
Sioux Lookout Airport	Sioux Lookout	Canada	YXL	CYXL	-6	America/Winnipeg
Pangnirtung Airport	Pangnirtung	Canada	YXP	CYXP	-5	America/Toronto
Earlton (Timiskaming Regional) Airport	Earlton	Canada	YXR	CYXR	-5	America/Toronto
Prince George Airport	Prince George	Canada	YXS	CYXS	-8	America/Vancouver
Northwest Regional Airport Terrace-Kitimat	Terrace	Canada	YXT	CYXT	-8	America/Vancouver
London Airport	London	Canada	YXU	CYXU	-5	America/Toronto
Abbotsford Airport	Abbotsford	Canada	YXX	CYXX	-8	America/Vancouver
Whitehorse / Erik Nielsen International Airport	Whitehorse	Canada	YXY	CYXY	-8	America/Vancouver
North Bay Jack Garland Airport	North Bay	Canada	YYB	CYYB	-5	America/Toronto
Calgary International Airport	Calgary	Canada	YYC	CYYC	-7	America/Edmonton
Smithers Airport	Smithers	Canada	YYD	CYYD	-8	America/Vancouver
Fort Nelson Airport	Fort Nelson	Canada	YYE	CYYE	-8	America/Vancouver
Penticton Airport	Penticton	Canada	YYF	CYYF	-8	America/Vancouver
Charlottetown Airport	Charlottetown	Canada	YYG	CYYG	-4	America/Halifax
Taloyoak Airport	Spence Bay	Canada	YYH	CYYH	-7	America/Edmonton
Victoria International Airport	Victoria	Canada	YYJ	CYYJ	-8	America/Vancouver
Lynn Lake Airport	Lynn Lake	Canada	YYL	CYYL	-6	America/Winnipeg
Swift Current Airport	Swift Current	Canada	YYN	CYYN	-6	America/Regina
Churchill Airport	Churchill	Canada	YYQ	CYYQ	-6	America/Winnipeg
Goose Bay Airport	Goose Bay	Canada	YYR	CYYR	-4	America/Halifax
St. John's International Airport	St. John's	Canada	YYT	CYYT	-3.5	America/St_Johns
Kapuskasing Airport	Kapuskasing	Canada	YYU	CYYU	-5	America/Toronto
Armstrong Airport	Armstrong	Canada	YYW	CYYW	-5	America/Toronto
Mont Joli Airport	Mont Joli	Canada	YYY	CYYY	-5	America/Toronto
Lester B. Pearson International Airport	Toronto	Canada	YYZ	CYYZ	-5	America/Toronto
Downsview Airport	Toronto	Canada	YZD	CYZD	-5	America/Toronto
Gore Bay Manitoulin Airport	Gore Bay	Canada	YZE	CYZE	-5	America/Toronto
Yellowknife Airport	Yellowknife	Canada	YZF	CYZF	-7	America/Edmonton
Slave Lake Airport	Slave Lake	Canada	YZH	CYZH	-7	America/Edmonton
Sandspit Airport	Sandspit	Canada	YZP	CYZP	-8	America/Vancouver
Chris Hadfield Airport	Sarnia	Canada	YZR	CYZR	-5	America/Toronto
Port Hardy Airport	Port Hardy	Canada	YZT	CYZT	-8	America/Vancouver
Whitecourt Airport	Whitecourt	Canada	YZU	CYZU	-7	America/Edmonton
Sept-Îles Airport	Sept-iles	Canada	YZV	CYZV	-5	America/Toronto
Teslin Airport	Teslin	Canada	YZW	CYZW	-8	America/Vancouver
CFB Greenwood	Greenwood	Canada	YZX	CYZX	-4	America/Halifax
Faro Airport	Faro	Canada	ZFA	CZFA	-8	America/Vancouver
Fort Mcpherson Airport	Fort Mcpherson	Canada	ZFM	CZFM	-7	America/Edmonton
Blida Airport	Blida	Algeria	QLD	DAAB	1	Africa/Algiers
Bou Saada Airport	Bou Saada	Algeria	BUJ	DAAD	1	Africa/Algiers
Soummam Airport	Bejaja	Algeria	BJA	DAAE	1	Africa/Algiers
Houari Boumediene Airport	Algier	Algeria	ALG	DAAG	1	Africa/Algiers
Djanet Inedbirene Airport	Djanet	Algeria	DJG	DAAJ	1	Africa/Algiers
Boufarik Airport	Boufarik	Algeria	\N	DAAK	1	Africa/Algiers
Reggane Airport	Reggan	Algeria	\N	DAAN	1	Africa/Algiers
Illizi Takhamalt Airport	Illizi	Algeria	VVZ	DAAP	1	Africa/Algiers
Ain Oussera Airport	Ain Oussera	Algeria	\N	DAAQ	1	Africa/Algiers
Aguenar – Hadj Bey Akhamok Airport	Tamanrasset	Algeria	TMR	DAAT	1	Africa/Algiers
Jijel Ferhat Abbas Airport	Jijel	Algeria	GJL	DAAV	1	Africa/Algiers
Mecheria Airport	Mecheria	Algeria	MZW	DAAY	1	Africa/Algiers
Relizane Airport	Relizane	Algeria	\N	DAAZ	1	Africa/Algiers
Rabah Bitat Airport	Annaba	Algeria	AAE	DABB	1	Africa/Algiers
Mohamed Boudiaf International Airport	Constantine	Algeria	CZL	DABC	1	Africa/Algiers
Cheikh Larbi Tébessi Airport	Tebessa	Algeria	TEE	DABS	1	Africa/Algiers
Hassi R'Mel Airport	Tilrempt	Algeria	HRM	DAFH	1	Africa/Algiers
Bou Chekif Airport	Tiaret	Algeria	TID	DAOB	1	Africa/Algiers
Bou Sfer Airport	Bou Sfer	Algeria	\N	DAOE	1	Africa/Algiers
Tindouf Airport	Tindouf	Algeria	TIN	DAOF	1	Africa/Algiers
Ech Cheliff Airport	Ech-cheliff	Algeria	CFK	DAOI	1	Africa/Algiers
Tafaraoui Airport	Oran	Algeria	TAF	DAOL	1	Africa/Algiers
Zenata – Messali El Hadj Airport	Tlemcen	Algeria	TLM	DAON	1	Africa/Algiers
Es Senia Airport	Oran	Algeria	ORN	DAOO	1	Africa/Algiers
Sidi Bel Abbes Airport	Sidi Bel Abbes	Algeria	BFW	DAOS	1	Africa/Algiers
Ghriss Airport	Ghriss	Algeria	MUW	DAOV	1	Africa/Algiers
Touat Cheikh Sidi Mohamed Belkebir Airport	Adrar	Algeria	AZR	DAUA	1	Africa/Algiers
Biskra Airport	Biskra	Algeria	BSK	DAUB	1	Africa/Algiers
El Golea Airport	El Golea	Algeria	ELG	DAUE	1	Africa/Algiers
Noumérat - Moufdi Zakaria Airport	Ghardaia	Algeria	GHA	DAUG	1	Africa/Algiers
Oued Irara Airport	Hassi Messaoud	Algeria	HME	DAUH	1	Africa/Algiers
In Salah Airport	In Salah	Algeria	INZ	DAUI	1	Africa/Algiers
Touggourt Sidi Madhi Airport	Touggourt	Algeria	TGR	DAUK	1	Africa/Algiers
Laghouat Airport	Laghouat	Algeria	LOO	DAUL	1	Africa/Algiers
Timimoun Airport	Timimoun	Algeria	TMX	DAUT	1	Africa/Algiers
Ain el Beida Airport	Ouargla	Algeria	OGX	DAUU	1	Africa/Algiers
In Aménas Airport	Zarzaitine	Algeria	IAM	DAUZ	1	Africa/Algiers
Cadjehoun Airport	Cotonou	Benin	COO	DBBB	1	Africa/Porto-Novo
Ouagadougou Airport	Ouagadougou	Burkina Faso	OUA	DFFD	0	Africa/Ouagadougou
Bobo Dioulasso Airport	Bobo-dioulasso	Burkina Faso	BOY	DFOO	0	Africa/Ouagadougou
Kotoka International Airport	Accra	Ghana	ACC	DGAA	0	Africa/Accra
Tamale Airport	Tamale	Ghana	TML	DGLE	0	Africa/Accra
Wa Airport	Wa	Ghana	\N	DGLW	0	Africa/Accra
Sunyani Airport	Sunyani	Ghana	NYI	DGSN	0	Africa/Accra
Takoradi Airport	Takoradi	Ghana	TKD	DGTK	0	Africa/Accra
Port Bouet Airport	Abidjan	Cote d'Ivoire	ABJ	DIAP	0	Africa/Abidjan
Bouaké Airport	Bouake	Cote d'Ivoire	BYK	DIBK	0	Africa/Abidjan
Daloa Airport	Daloa	Cote d'Ivoire	DJO	DIDL	0	Africa/Abidjan
Korhogo Airport	Korhogo	Cote d'Ivoire	HGO	DIKO	0	Africa/Abidjan
Man Airport	Man	Cote d'Ivoire	MJC	DIMN	0	Africa/Abidjan
San Pedro Airport	San Pedro	Cote d'Ivoire	SPY	DISP	0	Africa/Abidjan
Yamoussoukro Airport	Yamoussoukro	Cote d'Ivoire	ASK	DIYO	0	Africa/Abidjan
Nnamdi Azikiwe International Airport	Abuja	Nigeria	ABV	DNAA	1	Africa/Lagos
Akure Airport	Akure	Nigeria	AKR	DNAK	1	Africa/Lagos
Benin Airport	Benin	Nigeria	BNI	DNBE	1	Africa/Lagos
Margaret Ekpo International Airport	Calabar	Nigeria	CBQ	DNCA	1	Africa/Lagos
Akanu Ibiam International Airport	Enugu	Nigeria	ENU	DNEN	1	Africa/Lagos
Gusau Airport	Gusau	Nigeria	\N	DNGU	1	Africa/Lagos
Ibadan Airport	Ibadan	Nigeria	IBA	DNIB	1	Africa/Lagos
Ilorin International Airport	Ilorin	Nigeria	ILR	DNIL	1	Africa/Lagos
Yakubu Gowon Airport	Jos	Nigeria	JOS	DNJO	1	Africa/Lagos
Kaduna Airport	Kaduna	Nigeria	KAD	DNKA	1	Africa/Lagos
Mallam Aminu International Airport	Kano	Nigeria	KAN	DNKN	1	Africa/Lagos
Maiduguri International Airport	Maiduguri	Nigeria	MIU	DNMA	1	Africa/Lagos
Makurdi Airport	Makurdi	Nigeria	MDI	DNMK	1	Africa/Lagos
Murtala Muhammed International Airport	Lagos	Nigeria	LOS	DNMM	1	Africa/Lagos
Minna Airport	Minna	Nigeria	MXJ	DNMN	1	Africa/Lagos
Port Harcourt International Airport	Port Hartcourt	Nigeria	PHC	DNPO	1	Africa/Lagos
Sadiq Abubakar III International Airport	Sokoto	Nigeria	SKO	DNSO	1	Africa/Lagos
Yola Airport	Yola	Nigeria	YOL	DNYO	1	Africa/Lagos
Zaria Airport	Zaria	Nigeria	ZAR	DNZA	1	Africa/Lagos
Maradi Airport	Maradi	Niger	MFQ	DRRM	1	Africa/Niamey
Diori Hamani International Airport	Niamey	Niger	NIM	DRRN	1	Africa/Niamey
Tahoua Airport	Tahoua	Niger	THZ	DRRT	1	Africa/Niamey
Mano Dayak International Airport	Agadez	Niger	AJY	DRZA	1	Africa/Niamey
Dirkou Airport	Dirkou	Niger	\N	DRZD	1	Africa/Niamey
Diffa Airport	Diffa	Niger	\N	DRZF	1	Africa/Niamey
Zinder Airport	Zinder	Niger	ZND	DRZR	1	Africa/Niamey
Monastir Habib Bourguiba International Airport	Monastir	Tunisia	MIR	DTMB	1	Africa/Tunis
Tunis Carthage International Airport	Tunis	Tunisia	TUN	DTTA	1	Africa/Tunis
Sidi Ahmed Air Base	Bizerte	Tunisia	\N	DTTB	1	Africa/Tunis
Remada Air Base	Remada	Tunisia	\N	DTTD	1	Africa/Tunis
Gafsa Ksar International Airport	Gafsa	Tunisia	GAF	DTTF	1	Africa/Tunis
Gabès Matmata International Airport	Gabes	Tunisia	GAE	DTTG	1	Africa/Tunis
Borj El Amri Airport	Bordj El Amri	Tunisia	\N	DTTI	1	Africa/Tunis
Djerba Zarzis International Airport	Djerba	Tunisia	DJE	DTTJ	1	Africa/Tunis
El Borma Airport	El Borma	Tunisia	EBM	DTTR	1	Africa/Tunis
Sfax Thyna International Airport	Sfax	Tunisia	SFA	DTTX	1	Africa/Tunis
Tozeur Nefta International Airport	Tozeur	Tunisia	TOE	DTTZ	1	Africa/Tunis
Niamtougou International Airport	Niatougou	Togo	LRL	DXNG	0	Africa/Lome
Lomé-Tokoin Airport	Lome	Togo	LFW	DXXX	0	Africa/Lome
Antwerp International Airport (Deurne)	Antwerp	Belgium	ANR	EBAW	1	Europe/Brussels
Beauvechain Air Base	Beauvechain	Belgium	\N	EBBE	1	Europe/Brussels
Kleine Brogel Air Base	Kleine Brogel	Belgium	\N	EBBL	1	Europe/Brussels
Brussels Airport	Brussels	Belgium	BRU	EBBR	1	Europe/Brussels
Jehonville Air Base	Bertrix	Belgium	\N	EBBX	1	Europe/Brussels
Brussels South Charleroi Airport	Charleroi	Belgium	CRL	EBCI	1	Europe/Brussels
Chièvres Air Base	Chievres	Belgium	\N	EBCV	1	Europe/Brussels
Koksijde Air Base	Koksijde	Belgium	\N	EBFN	1	Europe/Brussels
Florennes Air Base	Florennes	Belgium	\N	EBFS	1	Europe/Brussels
Wevelgem Airport	Kortrijk-vevelgem	Belgium	KJK	EBKT	1	Europe/Brussels
Liège Airport	Liege	Belgium	LGG	EBLG	1	Europe/Brussels
Ostend-Bruges International Airport	Ostend	Belgium	OST	EBOS	1	Europe/Brussels
Zutendaal Air Base	Zutendaal	Belgium	\N	EBSL	1	Europe/Brussels
Brustem Airfield Sint Truiden	Sint-truiden	Belgium	\N	EBST	1	Europe/Brussels
Saint Hubert Air Base	St.-hubert	Belgium	\N	EBSU	1	Europe/Brussels
Ursel Air Base	Ursel	Belgium	\N	EBUL	1	Europe/Brussels
Weelde Air Base	Weelde	Belgium	\N	EBWE	1	Europe/Brussels
Zoersel (Oostmalle) Airfield	Zoersel	Belgium	OBL	EBZR	1	Europe/Brussels
Flugplatz Bautzen	Bautzen	Germany	\N	EDAB	1	Europe/Berlin
Altenburg-Nobitz Airport	Altenburg	Germany	AOC	EDAC	1	Europe/Berlin
Dessau Airfield	Dessau	Germany	\N	EDAD	1	Europe/Berlin
Eisenhüttenstadt Airfield	Eisenhuettenstadt	Germany	\N	EDAE	1	Europe/Berlin
Großenhain Airport	Suhl	Germany	\N	EDAK	1	Europe/Berlin
Merseburg Airport	Muehlhausen	Germany	\N	EDAM	1	Europe/Berlin
Halle-Oppin Airport	Halle	Germany	\N	EDAQ	1	Europe/Berlin
Riesa-Göhlis Airport	Riesa	Germany	IES	EDAU	1	Europe/Berlin
Rechlin-Lärz Airport	Rechlin-laerz	Germany	REB	EDAX	1	Europe/Berlin
Strausberg Airport	Strausberg	Germany	\N	EDAY	1	Europe/Berlin
Schönhagen Airport	Schoenhagen	Germany	QXH	EDAZ	1	Europe/Berlin
Barth Airport	Barth	Germany	BBH	EDBH	1	Europe/Berlin
Jena-Schöngleina Airfield	Jena	Germany	\N	EDBJ	1	Europe/Berlin
Kyritz Airport	Kyritz	Germany	\N	EDBK	1	Europe/Berlin
"Magdeburg ""City"" Airport"	Magdeburg	Germany	ZMG	EDBM	1	Europe/Berlin
